trip_id,arrival_time,departure_time,stop_id,stop_sequence,stop_headsign,pickup_type,drop_off_type,shape_dist_traveled
AFA19GEN-1037-Sunday-00_007200_1..N03R,01:35:00,01:35:00,124N,17,,0,0,
AFA19GEN-1037-Sunday-00_007200_1..N03R,01:36:00,01:36:00,123N,18,,0,0,
AFA19GEN-1037-Sunday-00_007200_1..N03R,01:37:30,01:37:30,122N,19,,0,0,
AFA19GEN-1037-Sunday-00_007200_1..N03R,01:39:00,01:39:00,121N,20,,0,0,
AFA19GEN-1037-Sunday-00_007200_1..N03R,01:40:30,01:40:30,120N,21,,0,0,
AFA19GEN-1037-Sunday-00_007200_1..N03R,01:42:00,01:42:00,119N,22,,0,0,
AFA19GEN-1037-Sunday-00_007200_1..N03R,01:43:30,01:43:30,118N,23,,0,0,
AFA19GEN-1037-Sunday-00_007200_1..N03R,01:44:30,01:44:30,117N,24,,0,0,
AFA19GEN-1037-Sunday-00_007200_1..N03R,01:46:30,01:46:30,116N,25,,0,0,
AFA19GEN-1037-Sunday-00_007200_1..N03R,01:48:30,01:48:30,115N,26,,0,0,
AFA19GEN-1037-Sunday-00_007200_1..N03R,01:50:00,01:50:00,114N,27,,0,0,
AFA19GEN-1037-Sunday-00_007200_1..N03R,01:52:00,01:52:00,113N,28,,0,0,
AFA19GEN-1037-Sunday-00_007200_1..N03R,01:54:00,01:54:00,112N,29,,1,1,
AFA19GEN-1037-Sunday-00_007200_1..N03R,01:56:00,01:56:00,111N,30,,0,0,
AFA19GEN-1037-Sunday-00_007200_1..N03R,01:57:30,01:57:30,110N,31,,0,0,
AFA19GEN-1037-Sunday-00_007200_1..N03R,01:58:30,01:58:30,109N,32,,0,0,
AFA19GEN-1037-Sunday-00_007200_1..N03R,02:00:00,02:00:00,108N,33,,0,0,
AFA19GEN-1037-Sunday-00_007200_1..N03R,02:01:30,02:01:30,107N,34,,0,0,
AFA19GEN-1037-Sunday-00_007200_1..N03R,02:03:00,02:03:00,106N,35,,0,0,
AFA19GEN-1037-Sunday-00_007200_1..N03R,02:04:30,02:04:30,104N,36,,0,0,
AFA19GEN-1037-Sunday-00_007200_1..N03R,02:06:00,02:09:00,103N,37,,0,0,
AFA19GEN-1037-Sunday-00_007200_1..N03R,02:10:30,02:10:30,101N,38,,0,0,
AFA19GEN-1037-Sunday-00_002600_1..S03R,00:26:00,00:26:00,101S,1,,0,0,
AFA19GEN-1037-Sunday-00_002600_1..S03R,00:27:30,00:27:30,103S,2,,0,0,
AFA19GEN-1037-Sunday-00_002600_1..S03R,00:29:00,00:29:00,104S,3,,0,0,
AFA19GEN-1037-Sunday-00_002600_1..S03R,00:30:30,00:30:30,106S,4,,0,0,
AFA19GEN-1037-Sunday-00_002600_1..S03R,00:32:00,00:32:00,107S,5,,0,0,
AFA19GEN-1037-Sunday-00_002600_1..S03R,00:33:00,00:33:00,108S,6,,0,0,
AFA19GEN-1037-Sunday-00_002600_1..S03R,00:34:30,00:34:30,109S,7,,0,0,
AFA19GEN-1037-Sunday-00_002600_1..S03R,00:36:00,00:36:00,110S,8,,0,0,
AFA19GEN-1037-Sunday-00_002600_1..S03R,00:37:30,00:37:30,111S,9,,0,0,
AFA19GEN-1037-Sunday-00_002600_1..S03R,00:39:30,00:39:30,112S,10,,1,1,
AFA19GEN-1037-Sunday-00_002600_1..S03R,00:41:00,00:41:00,113S,11,,0,0,
AFA19GEN-1037-Sunday-00_002600_1..S03R,00:43:00,00:43:00,114S,12,,0,0,
AFA19GEN-1037-Sunday-00_002600_1..S03R,00:44:30,00:44:30,115S,13,,0,0,
AFA19GEN-1037-Sunday-00_002600_1..S03R,00:46:00,00:46:00,116S,14,,0,0,
AFA19GEN-1037-Sunday-00_002600_1..S03R,00:48:30,00:48:30,117S,15,,0,0,
AFA19GEN-1037-Sunday-00_002600_1..S03R,00:49:30,00:49:30,118S,16,,0,0,
AFA19GEN-1037-Sunday-00_002600_1..S03R,00:50:30,00:50:30,119S,17,,0,0,
AFA19GEN-1037-Sunday-00_002600_1..S03R,00:52:30,00:52:30,120S,18,,0,0,
AFA19GEN-1037-Sunday-00_002600_1..S03R,00:54:30,00:54:30,121S,19,,0,0,
AFA19GEN-1037-Sunday-00_002600_1..S03R,00:55:30,00:55:30,122S,20,,0,0,
AFA19GEN-1037-Sunday-00_002600_1..S03R,00:57:00,00:57:00,123S,21,,0,0,
AFA19GEN-1037-Sunday-00_002600_1..S03R,00:58:30,00:58:30,124S,22,,0,0,
AFA19GEN-1037-Sunday-00_002600_1..S03R,01:00:00,01:00:00,125S,23,,0,0,
AFA19GEN-1037-Sunday-00_002600_1..S03R,01:02:00,01:02:00,126S,24,,0,0,
AFA19GEN-1037-Sunday-00_002600_1..S03R,01:03:30,01:03:30,127S,25,,0,0,
AFA19GEN-1037-Sunday-00_002600_1..S03R,01:05:00,01:05:00,128S,26,,0,0,
AFA19GEN-1037-Sunday-00_002600_1..S03R,01:06:00,01:06:00,129S,27,,0,0,
AFA19GEN-1037-Sunday-00_002600_1..S03R,01:07:00,01:07:00,130S,28,,0,0,
AFA19GEN-1037-Sunday-00_002600_1..S03R,01:08:00,01:08:00,131S,29,,0,0,
AFA19GEN-1037-Sunday-00_002600_1..S03R,01:09:00,01:09:00,132S,30,,0,0,
